,년월,성별,연령대,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동
135,201707,남자,(30~39세),24105,3571,192,232,494,600,555,529,381,221,162,3327,0,3154,2101,3196,3043,0,2347,0,0
136,201707,남자,(40~49세),25870,4090,262,244,564,733,574,622,516,281,266,3949,0,3284,2923,3081,2551,0,1930,0,0
137,201707,남자,(50~59세),16504,3388,288,362,657,1032,652,760,640,483,269,1845,0,1602,1070,1340,1011,0,1105,0,0
138,201707,남자,(60~69세),9662,2199,208,326,403,817,467,643,440,399,184,703,0,702,430,635,622,0,484,0,0
139,201707,남자,(70~79세),4869,1235,110,163,296,449,253,388,289,230,118,245,0,326,132,298,213,0,124,0,0
140,201707,남자,(80~89세),1792,408,46,84,122,191,118,182,148,93,47,75,0,94,43,68,51,0,22,0,0
141,201707,남자,(90~99세),145,41,6,5,8,16,5,8,10,7,5,7,0,14,5,4,2,0,2,0,0
142,201707,남자,(100세_이상),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,201707,여자,(0~9세),18790,2282,55,101,208,214,141,232,175,51,91,3110,0,2547,2240,2800,2536,0,2007,0,0
144,201707,여자,(10~19세),14989,2332,72,77,231,255,180,232,249,85,127,2608,0,2001,1873,1962,1559,0,1146,0,0
145,201707,여자,(20~29세),14102,2917,141,157,309,464,397,378,309,146,143,1888,0,2043,948,1489,1212,0,1161,0,0
146,201707,여자,(30~39세),25722,3222,127,153,304,446,285,386,260,117,121,3955,0,3784,2699,3828,3428,0,2607,0,0
147,201707,여자,(40~49세),22968,3477,128,172,390,488,321,399,387,188,189,3814,0,3144,2823,2841,2389,0,1818,0,0
148,201707,여자,(50~59세),15356,3224,223,266,529,794,548,649,495,353,219,1772,0,1571,934,1397,1183,0,1199,0,0
149,201707,여자,(60~69세),9998,2282,175,285,440,752,431,571,442,336,166,774,0,855,465,785,734,0,505,0,0
